Enumeration,Value,DOM,Type,Default,Description
Cobrandable,<DOM>,,<FILTER>,COBRAND,
LastDays,<DOM>,,<FILTER>,LAST30DAYS,
Enablement,<DOM>,,<FILTER>,ENABLED,
Ownership,<DOM>,,<FILTER>,Account:ACCOUNT_SHARING_ENABLED OWN;OWN,
Relation,<DOM>,,<FILTER>,,
Priority,<DOM>,,<FILTER>,COBRAND,
Status,<DOM>,,<FILTER>,DEFAULT,
CategorySource,<DOM>,,<FILTER>,ALL,
TransactionSource,<DOM>,,<FILTER>,ALL,
Container,<DOM>,,<FILTER>,ALL,
Dataset,<DOM>,,<FILTER>,JUSTLIKETHAT,
CobrandSupport,<DOM>,,<FILTER>,AGGREGATION,
Capable,<DOM>,,<FILTER>,DEFAULT,
EventStatus,<DOM>,,<FILTER>,NONDELETED,
ProviderId,<DOM>,,<FILTER>,,
AgentName,<DOM>,,<FILTER>,,
ServerStatsStatus,<DOM>,,<FILTER>,,
ExtractsItemUpdateStatus,<DOM>,,<FILTER>,,
ReconciledStatus,<DOM>,,<FILTER>,DEFAULT,
Association,<DOM>,,<FILTER>,SELF,
RealizationStatus,<DOM>,,<FILTER>,DEFAULT,
HolderFilter,<DOM>,,<FILTER>,DEFAULT,
TxnBaseType,<DOM>,,<FILTER>,DEFAULT,
ManualTransactionSource,<DOM>,,<FILTER>,DEFAULT,
