Entity,Attribute,Container,Reference,DOM,Type,Description,Values
Account,,,,,,,
,id,,,itemAccountId,,,
,name,,,accountName,,,
,accountNumber,,,accountNumber,,,
,nickName,,,itemAccount.nickname,,,
,holder,,,accountHolder,,,
,holderNominee,,,secondaryAccountHolderName,,,
,status,,,accountStatus,,,<DOM>
,openDate,,,accountOpenDate,,,
,closeDate,,,accountCloseDate,,,
,oldAccountNumber,,,,,,
,isPaperlessStmt,bank,,isPaperlessStmtOn,,,
,,credits,,isPaperlessStmtOn,,,
,lastUpdated,,,,,,
,,,,,,,
,ownership,,,<FILTER>,,,<DOM>
,enabled,,,<FILTER>enablement,,,<DOM>
,,,,,,,
,clearedBalance,bank,,currentBalance,,,
,availableBalance,bank,,,,,
,interestRate,bank,,,,,
,interestEarnedYtd,bank,,,,,
,prevYearInterest,bank,,prevYrInterest,,,
,overdraftProtectionAmount,bank,,overdraftProtection,,,
,budgetBalance,bank,,,,,
,straightBalance,bank,,,,,
,annualPercentYield,bank,,,,,
,taxesWithheldYtd,bank,,,,,
,maturityDate,bank,,,,,
,maturityAmount,bank,,,,,
,term,bank,,,,,
,,,,,,,
,cardType,credits,,,,,
,brandName,credits,,,,,
,cardProvider,credits,,company,,,
,availableCredit,credits,,,,,
,availableCash,credits,,,,,
,totalCreditLine,credits,,,,,
,totalCashLimit,credits,,,,,
,interestPaidThisPeriod,credits,,,,,
,interestPaidYtd,credits,,,,,
,aprType,credits,,,,,
,apr,credits,,,,,
,cashAprtype,credits,,,,,
,cashApr,credits,,,,,
,lastPaymentDate,credits,,,,,
,dueDate,credits,,,,,
,amountDue,credits,,,,,
,minPaymentDue,credits,,minPayment,,,
,lastPaymentAmount,credits,,lastPayment,,,
,runningBalance,credits,,,,,
,newCharges,credits,,,,,
,charges,credits,,,,,
,paymentsSinceLastStmt,credits,,payments,,,
,adjustmentsSinceLastStmt,credits,,adjustments,,,
,adjustmentsPaymentsSinceLastStmt,credits,,adjustmentsPayments,,,
,pendingCharges,credits,,,,,
,disputedAmount,credits,,,,,
,autopayEnrollmentStatus,credits,,autopayEnrlStatus,,,
,balanceTransferApr,credits,,balancetransferApr,,,
,balanceTransferAprType,credits,,balancetransferAprtype,,,
,,,,,,,
,asOfDate,bank,,asOfDate,Date,,
,,credits,,asofDate,Date,,
,balance,bank,clearedBalance,,,,
,,credits,runningBalance,,,,
,currency,bank,,currentBalance.currency;availableBalance.currency,,,
,,credits,,runningBalance.currency,,,
Transaction,,,,,,,
,accountId,,,itemAccount.itemAccountId,,,
,transDate,,,,,,
,postDate,,,,,,
,date,,transDate;postDate,,,,
,category,,,transactionCategory,,,
,type,,,transactionType,,,
,amount,bank,,transactionAmount,,,
,,credits,,transAmount,,,
,description,,,plainTextDescription,,,
,descriptionLevel2,bank,,descriptionLine2,,,
,,credits,,descriptionLine2,,,
,checkNumber,bank,,,,,
,baseType,bank,,transactionBaseType,,,
,,credits,,transactionBaseType,,,
,transactionStatus,,,,,,
,runningBalance,,,,,,
,postingOrder,,,transactionPostingOrder,,,
,mccCode,,,mcCode,,,
,naicsCode,,,,,,
,sourceTransactionType,bank,,sourceTransactionType,,,
,,credits,,sourceTransactionType,,,
Money,,,,,,,
,amount,,,,,,
,currency,,,<ENUM>,,,<DOM>
Date,,,,DateExt,,,
,date,,,,,,
,timeZone,,,displayTimeZone,,,
